brand;name;type;olfactive-family;pyramid_note;top_notes;middle_notes;base_notes;recommended_usage
Xerjoff;40 Knots;Eau de Parfum;Woody, Amber;Top/Middle/Base;Frankincense, Sea Notes;Leather, Cedarwood;Honey, Amber;17-18%
Maison Francis Kurkdjian;À La Rose;Eau de Parfum;Floral;Top/Middle/Base;Bergamot, Orange;Bulgarian Rose, Grasse Rose, Violet, Magnolia;Musk, Cedarwood;20%
Thierry Mugler;A*Men;Eau de Toilette;Amber, Woody;Top/Middle/Base;Lavender, Mint, Fruity Notes, Coriander, Green Notes, Bergamot;Caramel, Honey, Milk, Cedarwood, Jasmine, Lily-of-the-valley;Coffee, Patchouli, Vanilla, Tonka Bean, Benzoin, Amber, Sandalwood, Musk;15%
Thierry Mugler;A*Men Pure Coffee;Eau de Toilette;Amber;Top/Middle/Base;Coffee;Patchouli, Cedarwood;Musk, Vetiver;13-15%
Thierry Mugler;A*Men Pure Malt;Eau de Toilette;Amber, Woody;Top/Middle/Base;Fruity Notes, Orange, Bergamot;Malt, Whiskey, Patchouli, Coffee, Cedarwood;Peat, Vanilla, Amber, Musk;13-15%
Nasomatto;Absinth;Eau de Parfum;Woody, Aromatic;Top/Middle/Base;Wormwood;Green Notes;Vetiver;10-11%
Creed;Absolu Aventus;Eau de Parfum;Chypre, Fruity;Top/Middle/Base;Black Currant, Grapefruit, Bergamot, Lemon, Ginger;Pineapple, Patchouli, Pink Pepper, Cardamom, Cinnamon;Ambroxan, Cashmere Wood, Vetiver, Musk, Labdanum, Oakmoss;20%
Initio;Absolute Aphrodisiac;Eau de Parfum;Amber, Spicy;Top/Middle/Base;Leather;White Flowers;Amber, Vanilla, Castoreum, Musk;20-25%
Gianni Versace;Accento;Eau de Parfum;Chypre, Floral;Top/Middle/Base;Pineapple, Hyacinth;Iris, Jasmine, Pink Pepper;Musk, Vetiver, Amber, Vanilla, Patchouli;17-20%
Acqua di Parma;Accento Overdose;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Fruity Notes, Green Notes, Eucalyptus, Pine;Jasmine, Lily-of-the-valley, Bulgarian Rose;Vanilla, Sandalwood, Amber, Musk;17-20%
Giorgio Armani;Acqua di G. Absolu;Eau de Parfum;Woody, Aromatic;Top/Middle/Base;Apple, Bergamot, Grapefruit, Lemon, Pear, Sea Notes;Geranium, Lavender, Rosemary;Amberwood, Labdanum, Patchouli, Tonka Bean, Woody Notes;15-20%
Giorgio Armani;Acqua di G. Absolu Instinct;Eau de Parfum;Woody, Aquatic;Top/Middle/Base;Sea Notes, Lemon, Bergamot;Seaweed, Patchouli;Amberwood, Ebony Wood;18-20%
Giorgio Armani;Acqua di G. Essenza;Eau de Parfum;Woody, Aquatic;Top/Middle/Base;Cascalone, Bergamot, Grapefruit;Jasmine, Basil, Clary Sage;Black Pepper, Patchouli, Cedarwood, Vetiver, Ambergris, Musk;20%
Giorgio Armani;Acqua di G. Parfum;Parfum;Aquatic, Woody;Top/Middle/Base;Sea Notes, Bergamot;Rosemary, Clary Sage, Geranium;Olibanum, Patchouli;20-24%
Giorgio Armani;Acqua di G. Pour Homme;Eau de Toilette;Aquatic, Aromatic;Top/Middle/Base;Bergamot, Jasmine, Lemon, Lime, Mandarin Orange, Neroli, Orange;Calone, Coriander, Cyclamen, Freesia, Hyacinth, Jasmine, Nutmeg, Peach, Rose, Rosemary, Sea Notes, Violet;Amber, Cedarwood, Oakmoss, Patchouli, White Musk;12-15%
Giorgio Armani;Acqua di G. Profondo;Eau de Parfum;Marine;Top/Middle/Base;Sea Notes, Bergamot, Green Mandarin;Rosemary, Cypress, Lavender, Mastic;Mineral notes, Musk, Patchouli, Amber;20%
Giorgio Armani;Acqua di G. Profumo;Eau de Parfum;Aromatic, Aquatic;Top/Middle/Base;Bergamot, Sea Notes;Clary Sage, Geranium, Rosemary;Incense, Patchouli;15-20%
Profumum Roma;Acqua di Sale;Eau de Parfum;Marine;Top/Middle/Base;Myrtle;Seaweed, Salt;Cedarwood;20%
Profumum Roma;Acqua Viva;Eau de Parfum;Woody, Aromatic;Top/Middle/Base;Lemon, Cypress;Broom;Cedarwood;20%
Ex Nihilo;Addictive Vibration;Eau de Parfum;Floral;Top/Middle/Base;Orange Blossom;Apple Blossom;Honey, Vanilla, Musk;15-20%
Louis Vuitton;Afternoon Swim;Eau de Parfum;Citrus;Top/Middle/Base;Bergamot, Mandarin Orange, Orange;Ginger;Ambergris;20%
Parfums de Marly;Akaster;Eau de Parfum;Amber;Top/Middle/Base;Cypress, Lemon;Rose, Geranium;Agarwood, Musk, Cardamom;18-20%
Xerjoff;Alexandria II;Eau de Parfum;Amber, Woody;Top/Middle/Base;Rosewood, Lavender, Cinnamon, Apple;Rose, Cedarwood, Lily-of-the-valley;Agarwood, Sandalwood, Amber, Vanilla, Musk;16-18%
Xerjoff;Alexandria III;Eau de Parfum;Amber, Floral;Top/Middle/Base;Rosewood, Lavender, Cinnamon;Bulgarian Rose, Cedarwood, Lily-of-the-valley;Agarwood, Sandalwood, Musk, Amber, Vanilla;16-18%
Thierry Mugler;Alien;Eau de Parfum;Woody, Oriental;Top/Middle/Base;Jasmine;Woody Notes;Amber;17-20%
Chanel;Allure Homme;Eau de Toilette;Amber, Woody;Top/Middle/Base;Bergamot, Ginger, Lavender, Mandarin Orange, Peach;Anise, Black Pepper, Cedarwood, Freesia, Gardenia, Jasmine, Patchouli, Rose, Rosewood, Vetiver;Amber, Benzoin, Coconut, Leather, Musk, Oakmoss, Sandalwood, Tonka Bean;12-15%
Chanel;Allure Homme Édition Blanche;Eau de Parfum;Amber;Top/Middle/Base;Ginger, Sicilian Lemon, Bergamot;Pink Pepper, Cedarwood, Vetiver;Sandalwood, Vanilla, Amber, Musk;15-20%
Chanel;Allure Homme Sport;Eau de Toilette;Woody, Spicy;Top/Middle/Base;Orange, Sea Notes, Aldehydes, Blood Mandarin;Black Pepper, Neroli, Cedarwood;Tonka Bean, Vanilla, White Musk, Amber, Vetiver, Elemi;16-18%
Chanel;Allure Homme Sport Cologne;Eau de Cologne;Citrus, Aromatic;Top/Middle/Base;Mandarin Orange, Bergamot, Lemon;Lovage, Elemi;White Musk, Cedarwood, Amber;7-9%
Chanel;Allure Homme Sport Superleggera;Eau de Parfum;Woody, Aromatic;Top/Middle/Base;Bergamot, Mandarin Orange, Grapefruit;Cedarwood;White Musk, Amber, Patchouli, Sandalwood;15-18%
Thameen;Althaïr;Eau de Parfum;Amber;Top/Middle/Base;Orange Blossom, Bergamot, Cinnamon;Bourbon Vanilla, Elemi;Guaiac Wood, Ambroxan, Praline, Musk;20%
Comme des Garcons;Amazingreen;Eau de Parfum;Aromatic, Green;Top/Middle/Base;Green Pepper, Palm Tree, Hazelnut;Ivy, Coriander, Orris Root, Flint;Vetiver, Gunpowder, White Musk, Smoke;18-20%
Tom Ford;Amber Absolute;Eau de Parfum;Amber;Top/Middle/Base;Incense, Olibanum;Sandalwood, Patchouli;Amber, Labdanum, Vanilla;15%
Prada;Amber Pour Homme;Eau de Toilette;Amber, Fougère;Top/Middle/Base;Bergamot, Cardamom, Mandarin Orange, Neroli;Geranium, Musk, Myrrh, Orange Blossom, Vetiver;Labdanum, Leather, Patchouli, Saffron, Sandalwood, Tonka Bean, Vanilla;10-13%
Prada;Amber Pour Homme Intense;Eau de Parfum;Amber;Top/Middle/Base;Bergamot, Orange Blossom;Geranium, Saffron, Myrrh, Leather;Sandalwood, Patchouli, Vetiver, Musk, Tonka Bean, Vanilla, Amber;16-18%
Acqua di Parma;Ambra Calabria;Parfum;Aromatic, Spicy;Top/Middle/Base;Bergamot, Green Leaves, Galbanum;Coriander, Jasmine;Amber, Vanilla, Musk;20-24%
HermÃ¨s;Ambre Narguile;Eau de Toilette;Amber, Spicy;Top/Middle/Base;Cinnamon, Honey, Rum;Orchid, Tobacco;Tonka Bean, Vanilla, Benzoin, Labdanum, Caramel, Musk;10-14%
Dior;Ambre Nuit;Eau de Parfum;Amber;Top/Middle/Base;Bergamot, Grapefruit;Damask Rose, Pink Pepper;Ambergris, Cedarwood, Guaiac Wood, Patchouli;15%
Serge Lutens;Ambre Sultan;Eau de Parfum;Amber;Top/Middle/Base;Laurel Leaf, Coriander, Oregano, Myrtle;Resins, Angelica, Myrrh, Vanilla;Benzoin, Amber, Sandalwood, Patchouli;20-25%
Maison Francis Kurkdjian;Amyris Femme;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Lemon Blossom, Pear;Sweet Pea, Amyris, Iris;Vetiver, Musk, Amber;20%
Maison Francis Kurkdjian;Amyris Homme;Eau de Toilette;Aromatic, Woody;Top/Middle/Base;Green Mandarin, Rosemary;Saffron, Amyris, Iris;Tonka Bean, Cedarwood;15%
Maison Francis Kurkdjian;Amyris Homme Extrait;Fragrance;Woody, Amber;Top/Middle/Base;Mandarin Orange, Cinnamon;Iris, Saffron;Tonka Bean, Amyris, Vanilla;25-30%
Thierry Mugler;Angel;Eau de Parfum;Amber;Top/Middle/Base;Bergamot, Black Currant, Coconut, Cotton Candy, Jasmine, Mandarin Orange, Melon, Pineapple;Apricot, Blackberry, Caraway, Honey, Jasmine, Lily-of-the-valley, Nutmeg, Orchid, Peach, Plum, Red Berries, Rose;Amber, Caramel, Chocolate, Musk, Patchouli, Sandalwood, Tonka Bean, Vanilla;20%
Mugler;Angel Elixir;Eau de Parfum;Floral, Fruity, Gourmand;Top/Middle/Base;Pink Pepper;Jasmine, Ylang-Ylang, Sandalwood, Orange Blossom;Bourbon Vanilla, Amber;20-22%
Kilian;Angels’ Share;Eau de Parfum;Amber;Top/Middle/Base;Cognac;Cinnamon, Tonka Bean, Oakwood;Praline, Vanilla, Sandalwood;22-24%
Nishane;Ani;Parfum;Amber, Floral;Top/Middle/Base;Ginger, Bergamot, Pink Pepper, Green Notes;Cardamom, Black Currant, Turkish Rose;Vanilla, Benzoin, Sandalwood, Cedarwood, Musk, Ambergris, Patchouli;20-25%
Theodoros Kalotinis;Animalique;Eau de Parfum;Amber;Top/Middle/Base;Bergamot, Lemon;Suede, Violet, Mimosa;Amber, Sandalwood, Tobacco;20-25%
Chanel;Antaeus;Eau de Toilette;Chypre;Top/Middle/Base;Bergamot, Clary Sage, Coriander, Lemon, Lime, Myrtle;Basil, Jasmine, Orris Root, Rose, Thyme;Castoreum, Labdanum, Musk, Oakmoss, Patchouli, Sandalwood;12-15%
Montale;Aoud Exclusif;Eau de Parfum;Spicy, Amber;Top/Middle/Base;Spicy Notes;Patchouli, Rose, Violet;Agarwood, Amber, Leather, Vanilla, White Musk;15-20%
Montale;Aoud Lagoon;Eau de Parfum;Floral, Woody;Top/Middle/Base;Mandarin Orange, Osmanthus;Lotus, Tiare;Guaiac Wood, Oakmoss, Vetiver;20%
Xerjoff;Apex;Eau de Parfum;Leather;Top/Middle/Base;Orange, Mandarin Orange, Bergamot, Lemon;Pineapple, Cistus, Jasmine, Cypress, Juniper Berry;Fir Balsam, Oakmoss, Leather, Patchouli, Tobacco, Olibanum, Cashmere Wood, Musk, Labdanum, Galbanum, Amber, Elemi, Sandalwood, Rum, Ambergris, Benzoin;20-22%
Louis Vuitton;Apogée;Eau de Parfum;Floral;Top/Middle/Base;Tangerine, Orange;Lily-of-the-valley, Magnolia, Rose, Jasmine;White Musk, Guaiac Wood, Sandalwood;20-22%
Kilian;Apple Brandy on the Rocks;Eau de Parfum;Aromatic, Fruity;Top/Middle/Base;Cardamom, Bergamot;Apple, Rum, Brandy, Pineapple, Vanilla, Oakmoss;Ambroxan, Cedarwood;20-24%
Guerlain;Aqua Allegoria Herba Fresca;Eau de Toilette;Aromatic, Green;Top/Middle/Base;Lemon, Clover;Mint, Green Tea;Lily-of-the-valley, Cyclamen;7-10%
Giorgio Armani;Aqua Media Cologne Forte;Eau de Parfum;Citrus, Aromatic;Top/Middle/Base;Verbena, Bergamot;Fennel, Hedione;Matcha Tea, Musk, Woody Notes;20%
Maison Francis Kurkdjian;Aqua Universalis Forte;Eau de Parfum;Floral, Woody, Musk;Top/Middle/Base;Lemon, Bergamot;White Flowers, Jasmine, Rose;Musk, Woody Notes;20-23%
MFK;Aqua Vitae Forte;Eau de Parfum;Woody;Top/Middle/Base;Bergamot, Cardamom, Cinnamon, Mandarin Orange, Pink Pepper;Orange Blossom, Ylang-Ylang;Guaiac Wood, Sandalwood, Vetiver;20-25%
Bvlgari;Aqva Amara;Eau de Toilette;Woody, Aquatic;Top/Middle/Base;Mandarin Orange;Watery Notes, Neroli;Olibanum, Patchouli;12%
Bvlgari;Aqva Pour Homme;Eau de Toilette;Aquatic, Aromatic;Top/Middle/Base;Mandarin Orange, Orange, Petitgrain;Cotton Flower, Lavender, Seaweed;Amber, Clary Sage, Patchouli, Virginian Cedarwood, Woody Notes;15%
Bvlgari;Aqva Pour Homme Marine;Eau de Parfum;Aquatic, Aromatic;Top/Middle/Base;Grapefruit, Mandarin Orange, Neroli, Petitgrain;Rosemary, Seaweed, Watery Notes;Amber, Cedarwood;15%
Tom Ford;Arabian Wood;Eau de Parfum;Woody, Chypre;Top/Middle/Base;Bergamot, Freesia, Lavender, Bulgarian Rose, Rose de Mai, Galbanum, Neroli;Gardenia, Geranium, Iris, Jasmine, Lily-of-the-valley, Ylang-Ylang, Clove, Honey, Apricot;Atlas Cedarwood, Patchouli, Sandalwood, Vetiver, Oakmoss, Amber, Tonka Bean;20-25%
Montale;Arabians Tonka;Eau de Parfum;Amber, Woody;Top/Middle/Base;Saffron, Bergamot;Agarwood, Bulgarian Rose;Tonka Bean, Sugar Cane, Amber, White Musk, Oakmoss;16-18%
Initio;Atomic Rose;Eau de Parfum;Oriental, Floral;Top/Middle/Base;Pink Pepper, Bergamot;Rose, Jasmine;Vanilla, Amber;15-17%
Louis Vuitton;Attrape-Rêves;Eau de Parfum;Amber, Floral;Top/Middle/Base;Lychee, Ginger, Bergamot;Peony, Turkish Rose, Cocoa;Patchouli;20%
Tauer Perfumes;Au Coeur du Désert;Parfum;Amber, Woody;Top/Middle/Base;Coriander, Caraway, Petitgrain, Lavender;Cistus, Birch, Jasmine, Geranium;Amber, Cedarwood, Vetiver, Patchouli, Oakmoss;20-23%
Louis Vuitton;Au Hasard;Eau de Parfum;Woody;Top/Middle/Base;Bergamot, Lemon, Aldehydes;Pear, Cardamom, Neroli, Green Notes, Freesia;Leather, Musk, Sandalwood, Cashmeran, Ambrette;16-17%
Bottega Veneta;Audace;Eau de Parfum;Oriental, Woody;Top/Middle/Base;Bitter Orange;Licorice, Cedarwood;Tonka Bean, Vetiver;16-18%
Mugler;Aura;Eau de Parfum;Floral;Top/Middle/Base;Rhubarb Leaf, Bergamot;Green Notes, Orange Blossom, Ylang-Ylang, Pear;Bourbon Vanilla, Woody Notes, Amberwood, Sandalwood, Tonka Bean;18-20%
Creed;Aventus;Eau de Parfum;Fruity, Chypre;Top/Middle/Base;Apple, Bergamot, Black Currant, Pineapple;Birch, Patchouli, Rose, Jasmine;Ambergris, Musk, Oakmoss, Vanilla;20-25%
Creed;Aventus Cologne;Eau de Parfum;Aromatic, Fruity;Top/Middle/Base;Mandarin Orange, Ginger, Pink Pepper;Vetiver, Patchouli, Sandalwood;Musk, Birch, Tonka Bean, Styrax;15-20%
Creed;Aventus for Her;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Green Apple, Bergamot, Pink Pepper, Lemon;Rose, Lilac, Ylang-Ylang, Black Currant, Pineapple, Peach;Sandalwood, Cedarwood, Patchouli, Musk, Ambergris;20-25%
Comme des Garcons;Avignon;Eau de Toilette;Amber, Woody;Top/Middle/Base;Aldehydes, Incense, Spices, Elemi;Chamomile, Myrrh, Labdanum, Palisander;Olibanum, Patchouli, Ambrette, Oakmoss, Vanilla, Musk;17-20%
Azzaro;Az. Pour Homme;Eau de Toilette;Aromatic, Fougère;Top/Middle/Base;Anise, Basil, Bergamot, Caraway, Clary Sage, Iris, Lavender, Lemon;Cardamom, Cedarwood, Juniper Berry, Sandalwood, Vetiver;Amber, Leather, Musk, Oakmoss, Tonka Bean;12-15%
Azzaro;Az. Pour Homme Elixir;Eau de Toilette;Amber;Top/Middle/Base;Bergamot, Lemon, Mandarin Orange, Pear;Lavender, Geranium, Black Currant;Vanilla, Tonka Bean, Labdanum, Oakmoss, Benzoin;15%
Nishane;Azaran;Eau de Parfum;Amber, Woody;Top/Middle/Base;Saffron, Bergamot;Green Tea, Cedarwood;Leather, Beeswax, Woody Notes;17-18%
Burberry;B. Her;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Strawberry, Raspberry, Blackberry, Sour Cherry, Black Currant, Mandarin Orange;Violet, Jasmine;Musk, Vanilla, Cashmeran, Woody Notes, Oakmoss, Amber, Patchouli;20%
Tom Ford;Babycat;Eau de Parfum;Amber, Spicy;Top/Middle/Base;Black Pepper, Pink Pepper, Elemi;Olibanum, Saffron;Bourbon Vanilla, Suede, Cedarwood;20%
Maison Francis Kurkdjian;Baccarat Rouge 540;Parfum;Floral, Oriental;Top/Middle/Base;Jasmine, Saffron;Ambergris, Amberwood;Cedarwood, Fir Balsam;16-18%
Maison Francis Kurkdjian;Baccarat Rouge 540 Extrait de Parfum;Parfum;Amber, Floral;Top/Middle/Base;Bitter Almond, Saffron;Jasmine, Cedarwood;Ambergris, Cashmeran, Musk;20%
Carolina Herrera;Bad Boy;Eau de Toilette;Amber, Spicy;Top/Middle/Base;White Pepper, Bergamot, Pink Pepper;Cedarwood, Clary Sage;Tonka Bean, Cocoa;13-15%
Carolina Herrera;Bad Boy Cobalt Elixir;Eau de Parfum;Woody;Top/Middle/Base;Black Pepper, Clary Sage;Truffle, Woody Notes;Vanilla, Frankincense;15-17%
Carolina Herrera;Bad Boy Extreme;Eau de Parfum;Amber;Top/Middle/Base;Bergamot, Ginger, Frankincense, Clary Sage;Davana, Plum, Incense;Vetiver, Patchouli, Cocoa, Opoponax, Tonka Bean, Labdanum;17-18%
Carolina Herrera;Bad Boy Le Parfum;Eau de Parfum;Leather;Top/Middle/Base;Cannabis, Grapefruit;Geranium, Black Pepper;Vetiver, Leather;15%
Le Labo;Baie 19;Eau de Parfum;Aromatic, Green;Top/Middle/Base;Ozonic Notes, Green Leaves;Juniper Berry, Patchouli;Musk, Ambroxan;18%
Byredo;Bal D’Afrique;Eau de Parfum;Amber, Woody;Top/Middle/Base;Lemon, Tagetes, Black Currant, Bergamot, Orange Blossom;Violet, Cyclamen, Jasmine;Vetiver, Musk, Amber, Cedarwood;20-25%
Kilian;Bamboo Harmony;Eau de Parfum;Citrus, Aromatic;Top/Middle/Base;Bergamot, Neroli, Bitter Orange;Tea, Bamboo, Mate, Mimosa, Spicy Notes;Fig Leaf, Holly, Oakmoss;15-20%
Nasomatto;Baraonda;Parfum;Amber, Woody;;Whiskey;Rose, Woody Notes;Ambrette, Musk, Ambroxan;15-17%
Tom Ford;Beau de Jour;Eau de Parfum;Aromatic, Fougère;Top/Middle/Base;Lavender;Rosemary, Oakmoss, Mint, Basil, Geranium;Patchouli, Amber;20%
Chanel;Beige;Eau de Parfum;Floral;Top/Middle/Base;Frangipani;Freesia, Hawthorn;Honey;20-22%
Hermes;Bel Ami Vetiver;Eau de Toilette;Woody, Chypre;Top/Middle/Base;Mandarin Orange, Bergamot, Lemon, Clary Sage, Cardamom;Clove, Iris, Basil, Jasmine, Cedarwood;Patchouli, Leather, Coconut, Vanilla, Oakmoss, Vetiver, Styrax, Amber;10-13%
Le Labo;Bergamote 22;Eau de Parfum;Citrus, Aromatic;Top/Middle/Base;Bergamot, Grapefruit;Orange Blossom, Petitgrain;Vetiver, Cedarwood, Musk, Amber;20-25%
Amouage;Birds of Paradise;Eau de Toilette;Woody, Aromatic;Top/Middle/Base;Chamomile, Violet Leaf;Fir Balsam, Driftwood;Sandalwood, Tonka Bean, Cashmeran;10-12%
Tom Ford;Bitter Peach;Eau de Parfum;Amber, Powdery/Sweet;Top/Middle/Base;Blood Orange, Cardamom, Heliotrope, Peach;Cognac, Davana, Jasmine, Rum;Benzoin, Cashmeran, Labdanum, Patchouli, Sandalwood, Styrax, Tonka Bean, Vanilla, Vetiver;13-17%
Nasomatto;Black Afgano;Parfum;Woody, Aromatic;Top/Middle/Base;Cannabis, Green Notes;Coffee, Resins, Tobacco, Woody Notes;Agarwood, Incense;20%
Montale;Black Aoud;Eau de Parfum;Woody, Floral, Musk;Top/Middle/Base;Rose, Mandarin Orange;Agarwood, Patchouli;Labdanum, Musk;17%
Bvlgari;Black Caviar;Parfum;Aromatic, Fougère;Top/Middle/Base;Caviar, Agarwood, Cedarwood;Lavender, Rosemary, Clary Sage;Vetiver, Oakmoss, Patchouli;20-25%
Yves Saint Laurent;Black Opium;Eau de Parfum;Amber;Top/Middle/Base;Pear, Pink Pepper, Orange Blossom;Coffee, Jasmine, Bitter Almond, Licorice;Vanilla, Patchouli, Cedarwood, Cashmere Wood;15-20%
Tom Ford;Black Orchid;Eau de Parfum;Amber;Top/Middle/Base;Bergamot, Black Currant, Gardenia, Jasmine, Lemon, Mandarin Orange, Truffle, Ylang-Ylang;Fruity Notes, Gardenia, Jasmine, Lotus, Orchid, Spices, Ylang-Ylang;Amber, Chocolate, Incense, Patchouli, Sandalwood, Vanilla, Vetiver, White Musk;15-20%
Kilian;Black Phantom;Eau de Parfum;Amber, Gourmand;Top/Middle/Base;Rum, Coffee;Almond, Heliotrope;Sandalwood, Dark Chocolate, Caramel, Sugar Cane;15-20%
Byredo;Black Saffron;Eau de Parfum;Amber, Spicy;Top/Middle/Base;Saffron, Juniper Berry, Grapefruit;Leather, Black Violet;Raspberry, Cashmeran, Vetiver;18-22%
Paco Rabanne;Black XS;Eau de Toilette;Amber, Woody;Top/Middle/Base;Clary Sage, Lemon;Cardamom, Cinnamon, Praline, Tolu Balsam;Amber, Patchouli, Rosewood;13-15%
Jo Malone;Blackberry & Bay;Eau de Cologne;Floral, Fruity;Top/Middle/Base;Bay Leaf, Blackberry, Grapefruit;Floral Notes;Cedarwood, Vetiver;7-8%
Byredo;Blanche;Eau de Parfum;Floral, Aldehydic;Top/Middle/Base;Aldehydes, Rose, Pink Pepper;Peony, Violet, Orange Blossom;Musk, Woody Notes, Sandalwood;20%
Guerlain;Blessed Baraka;Eau de Parfum;Amber;Top/Middle/Base;White Flowers;Sandalwood;Musk, Amber, Vanilla;15%
Chanel;Bleu EDP;Eau de Parfum;Woody, Aromatic;Top/Middle/Base;Grapefruit, Lemon, Mint, Pink Pepper, Bergamot, Aldehydes, Coriander;Ginger, Nutmeg, Jasmine, Melon;Incense, Amber, Cedarwood, Sandalwood, Patchouli, Labdanum, Amberwood;15-17%
Chanel;Bleu EDT;Eau de Toilette;Woody, Aromatic;Top/Middle/Base;Grapefruit, Lemon, Mint, Pink Pepper;Ginger, Iso E Super, Jasmine, Nutmeg;Cedarwood, Incense, Labdanum, Patchouli, Sandalwood, Vetiver, White Musk;12-15%
Chanel;Bleu Parfum;Parfum;Woody, Aromatic;Top/Middle/Base;Artemisia, Bergamot, Lemon, Mint;Geranium, Green Notes, Lavender, Pineapple;Amberwood, Cedarwood, Iso E Super, Sandalwood, Tonka Bean;20-25%
Giorgio Armani;Bleu Turquoise;Eau de Parfum;Amber, Spicy;Top/Middle/Base;Salt, Incense, Black Pepper;Ylang-Ylang, Cypriol, Jasmine;Vanilla, Sandalwood, Oakmoss;20-25%
Gucci;Bloom;Eau de Parfum;Floral;Top/Middle/Base;Jasmine;Tuberose;Rangoon creeper;20%
Gucci;Bloom Acqua di Fiori;Eau de Toilette;Floral;Top/Middle/Base;Galbanum, Black Currant, Bergamot, Lemon;Honeysuckle, Tuberose, Jasmine, Lily-of-the-valley, Freesia;Musk, Iso E Super, Sandalwood;15-17%
Bath & Body Works;Blue Moon Ginger Dash;Eau de Parfum;Aromatic;Top/Middle/Base;Lemon, Calone, Mint, Aldehydes;Ginger, Vodka;Ambroxan, White Musk;15-18%
Lalique;Blue Talisman;Eau de Parfum;Floral, Woody;Top/Middle/Base;Pear, Bergamot, Mandarin Orange, Ginger;Orange Blossom, Georgywood;Ambroxan, Musk, Akigalawood, Cedarwood;15-18%
Xerjoff;Boccanera;Eau de Parfum;Amber, Woody;Top/Middle/Base;Chilli, Black Pepper, Ginger, Cocoa;Jasmine;Chocolate, Musk, Leather, Patchouli, Cedarwood, Sugar, Vanilla;20%
Dior;Bois d’Argent;Eau de Parfum;Woody, Chypre;Top/Middle/Base;Iris, Cypress, Juniper Berry;Myrrh, Patchouli;Woody Notes, Honey, Vanilla, Amber, Resins, Musk, Leather;15-17%
Armani;Bois d’Encens;Eau de Parfum;Amber, Woody;Top/Middle/Base;Spices, Cistus;Cedarwood;Vetiver;15-20%
Chanel;Bois des Iles;Eau de Toilette;Amber, Woody;Top/Middle/Base;Aldehydes, Coriander, Neroli, Peach, Bergamot, Mandarin Orange;Ylang-Ylang, Orris Root, Jasmine, Rose, Lilac, Lily-of-the-valley;Sandalwood, Amber, Benzoin, Tonka Bean, Opoponax, Vanilla, Musk, Vetiver;10%
Creed;Bois du Portugal;Eau de Parfum;Amber, Woody;Top/Middle/Base;Bergamot, Lemon, Lime, Mandarin Orange, Basil;Lavender, Allspice, Nutmeg, Clove, Coriander;Sandalwood, Patchouli, Oakmoss, Leather;18-20%
Amouage;Boundless;Eau de Parfum;Woody, Spicy;Top/Middle/Base;Cardamom, Blood Orange, Ginger, Elemi;Vanilla, Benzoin;Tobacco, Myrrh, Incense, Cocoa, Guaiac Wood, Patchouli, Vetiver, Cypriol, Oakmoss;20-24%
